rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
7.364012620165853,[28.99876332],5.9459802585046475,[32.77346311],4.614359389303942,[28.99876332 32.77346311],6.4711617353484066,[-24.37789506 -17.04475137 284.67551133],1
6.454795479273975,[49.87342276],4.524406687189538,[27.29834819],4.489014489692631,[42.65616833 26.23194398],4.226040004796675,[26.73676942 18.65465002 51.24677229],2
3.641851127623888,[37.96838469],4.0185853891074235,[27.25008796],5.211607605379673,[51.02069798 29.11669886],4.935217223528998,[38.97796527 22.60845356 39.64525236],3
8.562873961656942,[23.69040706],6.1080707920379185,[21.63849995],4.650447494712001,[28.76293302 22.20943799],4.61190771249027,[ 6.22671381 10.66704171 75.19064373],4
