rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
1.2310666463915803,[0.55476965],0.3239707268212781,[3.19517674],0.34135319209290355,[0.55476965 3.19517674],0.32937800161184,[ 0.86598532  3.4856447  -1.65981691],1
0.46757751135644143,[0.13068265],0.25981670230330806,[3.71632671],0.3017105702495575,[-0.89797532  3.73877609],0.31701600427561005,[-1.41923463  3.49066779  1.67800666],2
0.5888454303402748,[-1.44815302],0.2630218692848514,[3.61127194],0.2649740156389732,[0.17353913 3.61762094],0.27171051612393615,[ 1.06555618  4.09969306 -2.93656281],3
0.7502546566833566,[-0.62759786],0.16579463416968165,[3.49817455],0.16954952212441243,[0.17214838 3.50159166],0.1714123545816776,[ 0.7370537   3.79091974 -1.88477022],4
