rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
5.224481711082998,[-1.37052538],1.047243107883612,[14.75754349],0.9928893426371538,[-1.37052538 14.75754349],0.4328287814182087,[  4.86782814  20.58000677 -33.27121877],1
1.8804329522987848,[-1.79756728],0.6789556564153533,[16.62553678],0.9529179420053847,[-6.41591971 16.78593477],0.6409119981309921,[  1.71449774  20.65583987 -26.17295126],2
2.412609631287141,[-10.89174614],0.4132742705252658,[16.28993745],0.2783944694599892,[-3.64920864 16.15642982],0.48510242046353963,[  8.06160362  22.4852956  -38.55255435],3
3.052269054780976,[-8.08800929],0.30929633426362146,[16.25871652],0.2641459367191187,[-4.3945217 16.1714862],0.3146562656530066,[  6.58962383  21.7972462  -36.64789402],4
