rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0009543609367248119,[0.01170757],0.0008789472330063242,[-0.00174546],0.0012150477356722715,[ 0.01170757 -0.00174546],0.0009222185744846722,[ 0.02296971  0.00876587 -0.06006476],1
0.0015001090599973453,[0.00411668],0.0017749542664667382,[0.00076086],0.0015785806599416822,[0.00393441 0.0006625 ],0.0013664210833491685,[ 0.00931852  0.00322522 -0.0173322 ],2
0.000573790794642729,[0.0090128],0.0007099853257322796,[-0.00059242],0.0005763761620316369,[ 0.00889308 -0.00026706],0.0007266096662096103,[ 0.02155958  0.00657829 -0.04169874],3
0.0005718436024545801,[0.00925889],0.0007023394340205268,[-0.00081327],0.0006211866666239564,[ 0.00911447 -0.00063235],0.0007600804079179762,[ 0.02137893  0.00564915 -0.04091959],4
