rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.001188764637727032,[-0.00136132],0.00048620052464153253,[0.00159271],0.00027938081606655637,[0.00779319 0.0018134 ],0.00028481443571399065,[ 0.00853693  0.00236161 -0.00550674],1
0.001884790500652811,[-0.00863873],0.0006704376167007839,[0.00145354],0.00028709994772300817,[0.00793547 0.00185113],0.0002872643897108877,[ 0.00797943  0.00187442 -0.00023094],2
0.0008985234269985685,[-0.00457467],0.0005953561673410998,[0.00161835],0.0003202116203637297,[0.00653569 0.00183802],0.0003297901920736562,[0.00555881 0.00132895 0.00504496],3
0.002199132011548452,[0.00114115],0.00037948610302459174,[0.00155617],8.344814617544537e-05,[0.00729533 0.00186671],0.00013186592533506614,[0.00582303 0.00117544 0.00681185],4
