rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.15311332052280893,[-0.64171243],0.03248498747522281,[0.21003145],0.023272719158266852,[0.4883982  0.22386211],0.030458469847240734,[ 0.73757885  0.40752967 -1.8449551 ],1
0.23663314573692856,[-1.59047921],0.0400164339392178,[0.20637681],0.010464072690696706,[0.46667771 0.22975855],0.010791992795095075,[ 0.57565283  0.28749974 -0.57259352],2
0.10055977915106872,[-0.93227655],0.02452762723475117,[0.21530205],0.007430846042781979,[0.46329444 0.23087336],0.00757160757568226,[ 0.56928665  0.28610796 -0.54738582],3
0.27147994877541776,[-0.37088159],0.03971009534740401,[0.21929492],0.02686092510847143,[0.40956699 0.23672878],0.03667991532664956,[0.16992574 0.12421326 1.10874103],4
