rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
29.491191228432204,[-162.00438848],5.872600843468787,[42.68384232],2.949721535613877,[62.3937845 44.4507344],4.665899551186871,[  99.91790757   72.10924051 -277.83186108],1
44.48112136469193,[-328.79390847],4.3211307919587965,[42.10992328],4.243568167330475,[87.48542727 46.49316425],4.328954319036118,[ 109.07308484   57.93152832 -113.42912911],2
20.17636181176115,[-222.63988669],8.040850436074708,[43.95082235],6.226678634596138,[54.00319215 45.76586813],6.161076093574332,[ 64.23103729  51.09579679 -52.82065189],3
56.25021078610552,[-76.66602483],5.750821322115035,[40.89751584],4.633626860116004,[67.66008885 43.77757262],4.78295753459651,[  99.10879605   58.54325984 -145.50279602],4
