rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
23.879238316782207,[111.71555737],7.036791990047795,[17.66772017],8.969037560262272,[152.99140238  19.12807944],7.143579319563948,[-30.70134974   6.38758559  67.74325155],1
23.23970277174074,[90.89849315],11.220995342310774,[17.71961376],5.365562936368725,[111.65035532  18.16514546],2.583997721096947,[-78.51227729   5.61628432  82.08534717],2
15.658238659202945,[167.31488922],17.863883176469077,[22.9695429],12.084856721151631,[90.61665342 21.80544304],7.363582688108492,[ 1.41472895 13.60717825 41.14590337],3
21.978980336331354,[153.09843105],7.294864838984726,[19.13465798],3.974113775430823,[130.62784823  18.60861055],4.6040104751485655,[-109.93884401    4.1588954    86.36055739],4
