rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.34278240106516644,[0.23988176],0.04592287559981878,[0.28744347],0.014138495088135349,[0.87823602 0.29582655],0.0174384597744175,[ 1.02129771  0.30574897 -0.0527591 ],1
0.30944479014981713,[0.51584717],0.05740180920900336,[0.28908788],0.008959854685735956,[0.8499759  0.29247964],0.009811389786778276,[0.75876872 0.28646086 0.03937037],2
0.3693486222352223,[1.89214995],0.05955812151524551,[0.30465404],0.00353453214016811,[0.85939559 0.29361388],0.004463907066553897,[0.80852517 0.28893854 0.02346485],3
0.29095237479726516,[1.1787418],0.059020745711577706,[0.29568941],0.011509923472602978,[0.82570119 0.29236426],0.012447208071000184,[0.7330922  0.28680167 0.03324551],4
