rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
75.18076051463741,[133.12437409],9.4738028849797,[64.23875226],9.538202477937585,[277.45801435  66.88719117],4.572513641615253,[31.768293   49.8467345  90.60684433],1
76.2067340158961,[121.55129061],24.899156598002797,[62.37684589],13.94048492647936,[193.69358151  63.14976444],8.965337384079472,[31.5855663  52.45223178 69.97532861],2
76.28981458058058,[463.25534358],23.127751282430278,[70.5234907],9.192412301504397,[225.38078741  67.62815376],7.6097905576201805,[-58.65554313  41.52327922 131.01658377],3
64.67941743732027,[344.25202828],11.983881942735685,[66.72773691],7.908714108172549,[264.96430525  65.66070721],8.091223682870421,[-67.85602502  45.66974785 119.47850704],4
