rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0022949751179581926,[0.01631216],0.0013100130765046356,[0.00263922],0.001242958945963551,[0.02247007 0.0028537 ],0.0011524650271837222,[0.0147993  0.00232168 0.00282887],1
0.0034567574232718984,[0.01299874],0.00227471696698965,[0.00213456],0.0013475408122548375,[0.01550796 0.00219645],0.0014513818985074647,[ 0.01871229  0.0024079  -0.00138318],2
0.003396054938525826,[0.03158274],0.0011148825434769522,[0.0027214],0.0006704233628765131,[0.02305216 0.00242526],0.0018272015877601265,[-2.40103967e-03  8.59367711e-05  1.17407192e-02],3
0.0026110093214852916,[0.02482489],0.0010678145791916224,[0.00252876],0.00034376088656164623,[0.02187771 0.00244066],3.7075892986751764e-05,[0.01000357 0.00172743 0.00426267],4
