rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.18903369542166,[1.61730823],0.1089351383014565,[23.02670167],0.05441752622568033,[ 0.74311159 21.53193698],0.06479515093779008,[  0.90713363  23.91236552 -11.82701647],1
0.24660498311976586,[0.64495247],0.08733571677150409,[19.56823246],0.03086776268316681,[ 0.76034909 19.89596914],0.04404540309834761,[-5.51966374e-03  1.42115353e+01  4.28345436e+01],2
0.25207182620563456,[0.21315452],0.07583763924677461,[18.03982363],0.021016547050640374,[ 0.85402056 19.88894593],0.04991859518682403,[ 0.0808206  12.22660401 38.431809  ],3
0.0832220887066972,[0.98329368],0.03523872575561779,[20.49492214],0.032740708652887085,[ 0.98329368 20.49492214],0.029682244007179795,[ 0.75170464 18.39864203 11.97874349],4
