rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.9891360120806992,[8.79112701],0.22715597086966877,[76.16956202],0.33591605629842325,[ 6.20541865 63.68739808],0.3223112270682742,[  6.38862797  66.34628881 -13.2105392 ],1
0.7119506542113245,[4.19836095],0.4254181483440516,[78.00100306],0.21849950292547737,[ 4.66242282 80.01066807],0.12252173348169186,[   8.03262018  105.0249588  -188.49295564],2
0.9262473569671088,[2.45978769],0.4587081718956269,[56.44515545],0.15193624877859965,[ 4.59946923 66.40391   ],0.07435451608617183,[   8.07222107  100.81856784 -172.61270392],3
0.24073747105037588,[4.31851812],0.40170451086462877,[72.41339246],0.15620538260316982,[ 4.31851812 72.41339246],0.125681144015355,[   6.95609798   96.28803774 -136.42654441],4
