rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0005886672056982538,[0.01777518],0.0013899056879668966,[0.06595164],0.00035065696338074337,[0.01644016 0.03288236],0.00036743903376955546,[0.01583737 0.02413421 0.04346464],1
0.0004494317452799711,[0.01440181],0.0013984526416708602,[0.0438654],0.0004091533942015322,[0.01469297 0.05019858],0.0007279769760884342,[0.00802265 0.00069012 0.37306656],2
0.0007736684451054861,[0.01389061],0.0015647536119781354,[-0.01150967],0.0005527735238717314,[0.01453372 0.01995868],0.0005936829614806736,[0.0130018  0.00477751 0.0761438 ],3
0.00041896369529335263,[0.01711879],0.0008629167984794425,[0.0442854],0.0005451730704347257,[0.01711879 0.0442854 ],0.0005646609866719014,[ 0.01927713  0.06382216 -0.11163861],4
