rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0006476444987478455,[0.00498575],0.0005788554375349719,[0.00195752],0.0005662712330341839,[0.00296203 0.00190367],0.0005647820506671978,[ 0.00429733  0.00201869 -0.00069859],1
0.001522896874064713,[0.01062386],0.00016848146326733219,[0.00161034],0.0005727084349231139,[0.00601098 0.00144641],0.0010370765960876246,[-5.44481044e-03  2.71575060e-05  6.95150177e-03],2
0.00129241252610249,[0.00386443],0.00046531205895909683,[0.00157481],0.0002703237899777868,[0.00243354 0.00155314],0.001210096340461723,[ 0.02476413  0.00312592 -0.01186175],3
0.0009071145174107125,[0.00275931],0.00039188336679751,[0.00161449],0.00022627770663707596,[0.00228828 0.00160804],0.00022289698437693954,[ 0.00249746  0.00162628 -0.00010447],4
