rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
31.49725641965964,[244.52451422],2.7781073598272514,[54.40737728],5.169089893640338,[190.36531655  50.94619121],4.53362194701213,[26.39856258 36.82192632 85.78224231],1
33.187689740652736,[355.11394844],20.33014895624806,[60.19674416],5.742176626116301,[178.67534156  55.32378241],3.475362601514274,[  9.0988038   34.31507188 102.90095055],2
40.389217957047265,[221.89352166],21.64387267671699,[51.09815825],6.834245288602179,[176.26324571  49.52866086],4.7103896150125335,[-72.92767007  31.97770512 132.36732146],3
19.833944224618854,[205.7760879],13.892675111497226,[53.75031231],4.513454452661446,[190.18842138  53.21419768],2.6505220509971905,[11.96821307 37.66669022 89.01103228],4
