rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
10.69996771551999,[108.1415607],0.3257297378539969,[18.72835383],1.1494141907509552,[89.97107585 17.0925168 ],0.7240811103062015,[-20.76603534   7.5535081   57.93416942],1
9.254362687012557,[135.74012516],10.951910001991074,[21.84161838],4.527253604786927,[72.37815327 19.8676696 ],0.8539190085727821,[-17.05894405   8.78737445  54.27143666],2
15.216872131428628,[106.0477164],10.029185310164063,[16.51392742],4.4451624200550865,[91.58490501 15.69842973],1.8369574817536414,[-46.04741552   6.00474263  73.10869081],3
5.743861007797638,[97.95812207],6.408909082302101,[18.45843751],2.548244635764377,[92.62770331 18.19733294],1.1524929594833482,[-22.68163204   8.13802054  57.59056769],4
