rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.1312816927321321,[0.65461949],0.03962004041980843,[0.28556527],0.03712214671933629,[0.35796345 0.27905685],0.03733065307059222,[0.2481192  0.26959475 0.05746706],1
0.1951773585515349,[1.30028472],0.028071856250194926,[0.2698678],0.021268750780978538,[0.48150252 0.25673592],0.0484851600785928,[-0.19267148  0.17321301  0.40909636],2
0.19688269627543475,[0.68542951],0.03589292795435566,[0.25766905],0.028187155673636645,[0.45174738 0.25364657],0.07568821110289511,[ 1.67784484  0.34000277 -0.65128874],3
0.12948186517025703,[0.35564941],0.0453799337790374,[0.26243611],0.02451737314408915,[0.2790062  0.26164963],0.027335175389238086,[0.05406817 0.24202657 0.11234397],4
