rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.18949538798075982,[1.6323989],0.0664925623536177,[3.40007544],0.03666806464683567,[0.3404609  3.22984499],0.02189241908632969,[0.16858552 2.74286474 2.29167179],1
0.2047269263140346,[1.1654247],0.021316380301808963,[3.15205034],0.030665842287394596,[0.69131832 3.02242815],0.026169927917050285,[0.60121182 2.91730391 0.60070996],2
0.3040889672810974,[-0.51264979],0.07819023125320475,[2.78088111],0.0396902102740828,[0.40775464 2.9337891 ],0.04175566887760202,[-0.02829472  2.03054401  6.22927647],3
0.1604943123934229,[0.93894412],0.0085592154553154,[3.12097145],0.010995400529829816,[0.52662477 2.98931526],0.013337315548356059,[0.0701454  2.19808435 4.26047413],4
