rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.00036222845050587114,[0.00170988],0.00010242284465303561,[0.00415345],0.00010373953010536377,[6.06225877e-05 4.12313465e-03],0.00010255255099340787,[ 0.00064033  0.00576563 -0.00772939],1
0.00033063324947508105,[0.00037431],4.8048129611274944e-05,[0.00436611],6.16308131828244e-05,[-0.00031998  0.0044261 ],6.534920042305364e-05,[-0.00042346  0.00430537  0.00068992],2
0.000397415694838103,[-0.0013399],6.036632157180125e-05,[0.00479653],7.649063744012799e-05,[0.00018688 0.00486661],5.4422846424890764e-05,[ 0.00042131  0.00535223 -0.00334908],3
0.0002025807531228772,[0.00063288],0.0001424869517458006,[0.00502707],0.00014235964915653834,[-6.26702612e-05  5.04273273e-03],0.00014195481909255853,[ 0.00053082  0.00607145 -0.00553923],4
