rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.6299513263213715,[6.55202067],0.4190912231184099,[11.99813458],0.2354484663335775,[ 2.19095854 10.90265531],0.37554049782707166,[  3.87302079  15.66849836 -22.42749669],1
0.6810751925323367,[5.22610951],0.2066151203943423,[10.95929324],0.06539005380745071,[ 3.61327756 10.2818037 ],0.04897810496352042,[3.27979759 9.89274374 2.22319979],2
0.9168192729620257,[0.30638421],0.334312994962103,[9.34252972],0.15313454784412128,[ 3.66902378 10.71841364],0.5253014034784574,[ 0.4582014   4.06742441 45.86889124],3
0.5927538369616048,[4.7974604],0.14334941447201535,[10.8317873],0.19422484657363212,[3.42140009 9.97643728],0.202140199335181,[ 2.16561109  7.79973636 11.72069728],4
