rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0004099385443119848,[0.00056572],0.0002510199241859493,[0.00206567],0.00019889584020749607,[0.00131829 0.00225772],0.00022533706449591405,[ 0.00295904  0.00381952 -0.00960128],1
0.00012842727607280055,[0.00158571],0.00013243383174181683,[0.00273965],6.664065863488844e-05,[0.00158571 0.00273965],5.68795872544744e-05,[ 0.00227823  0.00332302 -0.00346259],2
0.00028082167520814737,[0.0003901],6.436561075203401e-05,[0.00246466],0.00011701499705075854,[0.00210837 0.00296401],0.00016981024995661048,[ 0.00405523  0.00464065 -0.00896905],3
0.00033699341162953564,[0.00219584],0.00022273960191946033,[0.00314641],0.00014543272097829223,[0.00139479 0.00296102],0.00019734624863193692,[0.0002883  0.00217485 0.00513772],4
