rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.2045476501014532,[-0.28113029],0.03833054803434055,[1.6178804],0.026337067389042464,[0.27133974 1.65741011],0.03127800406446463,[ 0.47864239  1.85473747 -1.21308741],1
0.06943465977962202,[0.24743972],0.038332283019194995,[1.74579668],0.02331385201300756,[0.24743972 1.74579668],0.023395783790964932,[ 0.32881466  1.81434622 -0.40687472],2
0.19864026410072022,[-0.58074746],0.03894877018660495,[1.7086008],0.054037982140222596,[0.47495728 1.82109068],0.05424036246575239,[ 0.54363752  1.88023821 -0.31640468],3
0.24529446922786496,[0.82260969],0.024739381031125548,[1.7244373],0.025462405475253826,[0.36937682 1.67534291],0.025484828567192926,[0.36639162 1.67322188 0.01386105],4
