rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
5.270245079505022,[53.59719787],6.890225953397959,[11.93227042],3.1772183797846263,[60.51321261 20.7480442 ],4.279435839967616,[  92.66775061   51.35532291 -188.16095802],1
4.587058994047629,[78.90919303],4.220187195705908,[28.04251454],3.646430076923654,[78.90919303 28.04251454],3.847181613858829,[ 93.62984962  40.44306764 -73.60328295],2
3.3667345152336963,[69.88122941],3.2260692658252395,[18.38236874],5.520159028131155,[93.35534218 40.49284452],5.601951870259078,[101.70713686  47.68542371 -38.47608876],3
6.834102557568703,[66.42802287],9.644124304634605,[41.00097009],6.4367936229875315,[57.39988369 33.37187162],8.717466104991553,[ -6.93347102 -12.33792193 298.71595227],4
