rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
2.8085760394738672,[54.47756103],2.6756366281964676,[243.09335803],2.7804622824962486,[ 54.66653122 260.64852733],2.7539634125250134,[ 53.52546348 165.97824004 537.89681469],1
1.2335764252341874,[46.00925419],4.827464836206326,[619.62567965],2.8061988940148996,[ 44.38205854 551.42777679],3.0020761319052194,[  36.967321     45.99979477 2947.6365858 ],2
2.669093289134882,[47.99999614],5.482838892925713,[-325.4262121],3.6730030170157555,[  47.40627544 -236.52184424],3.9119021071949276,[   48.53151663   210.15929802 -2549.78116213],3
1.7950706539117802,[48.72211901],2.8582325488434424,[281.5983335],1.5214111456361774,[ 48.15065626 221.94742081],1.5346365601371343,[  44.57170915  -87.56571536 1788.47471723],4
