rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0007372074189662208,[0.0016062],0.0006782241854739261,[-0.08209049],0.0006388416789706769,[ 0.00154705 -0.08159369],0.0006422078275186469,[ 0.00121397 -0.10922782  0.15701137],1
0.0009546139231725398,[-0.0014685],0.0007820989755784745,[-0.08284367],0.0008628140084817082,[-0.00122961 -0.08095423],0.0010063085376700392,[-0.00368348 -0.2482227   0.97550327],2
0.0005416884700675586,[0.00416976],0.00016676620944075117,[-0.08897273],0.00031036653401805906,[ 0.00396509 -0.08153672],0.003125022096455255,[ 2.53115121e-04 -1.55505887e+00  8.41127744e+00],3
0.0013568742891027624,[0.00571061],0.0012531937770500006,[-0.1349171],0.0015470439459779968,[ 0.00607738 -0.142446  ],0.0015948259813580532,[ 0.00733863 -0.03337073 -0.63027487],4
