rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.13849357921613226,[2.43664043],0.28316584995049987,[67.0072464],0.17896457643146102,[ 2.48579943 67.80551599],0.1800446033878409,[ 2.42980963 63.16024344 26.39346919],1
0.20166606432272668,[2.21229074],0.3563934684713089,[79.92087301],0.2291357582938237,[ 1.98545681 76.87000076],0.2552685093480341,[  1.51114213  44.53818719 188.55789539],2
0.3338194520739862,[3.18186516],0.2339557473305554,[41.63412975],0.1432848210762711,[ 3.30191985 47.82645543],1.1527968241031183,[ 1.9455975e+00 -4.9058577e+02  3.0734079e+03],3
0.5114008128701025,[4.06307133],0.2499176108689196,[55.89844593],0.44058230515231894,[ 3.93168688 51.02771874],0.4579597651699583,[   4.38905688   90.58181638 -228.55735453],4
