rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.02917749269616215,[0.33862777],0.0321226412618579,[18.1070897],0.024229856463392156,[ 0.35183732 18.22007591],0.024178499641725564,[ 0.31436764 15.1113511  17.66312556],1
0.055092276281315494,[0.32435138],0.03921640931627379,[18.42923293],0.0223155461895667,[ 0.27119869 18.01250638],0.027978386329577082,[ 0.16404196 10.70813307 42.59882471],2
0.07923230353632363,[0.33990746],0.028807055581562952,[17.04905116],0.011881877423393318,[ 0.38451438 17.77015839],0.14954331703128376,[ 1.98259634e-01 -5.61664184e+01  4.22050704e+02],3
0.061016819900751,[0.4855968],0.014059590681812971,[17.26255769],0.035501442340333714,[ 0.4425614  16.71429535],0.03529176095061738,[ 0.43704258 16.23701857  2.7578715 ],4
