rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0009369802843520939,[0.04635603],0.0025878237876151623,[0.00301075],0.0005616693285346195,[0.04761933 0.0050532 ],0.0006514303944614204,[ 0.0493522   0.00682471 -0.01031996],1
0.001050664211299938,[0.04673764],0.0029887384399606685,[0.00026946],0.0011514133424093448,[0.05100748 0.00492217],0.0012938912575293452,[ 0.056532    0.00819722 -0.02141653],2
0.0021074656562343934,[0.04344693],0.0038180189629307116,[-0.00056796],0.0017931416337047404,[0.04635452 0.00338313],0.0018553144258227356,[ 0.04113584 -0.00025308  0.02407852],3
0.0009850398414131267,[0.04608225],0.002462128765984507,[0.00075729],0.0004350744036201226,[0.04838933 0.00461415],0.000440812267366035,[0.04682685 0.00358053 0.00760489],4
