rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
4.315240361906312,[22.93291083],1.9647519595063938,[22.28906106],1.47837982385117,[28.81414428 23.52493381],1.9268593365927615,[ 39.08145243  34.02114077 -61.14605131],1
3.4653920656583974,[5.95692416],2.4887353971618533,[20.04245361],1.2923580046422511,[25.3489429  22.35468827],1.2748554376179198,[26.41258778 22.98523868 -4.12335534],2
2.9991289989696805,[9.73028574],2.0135837697683288,[19.815477],1.0366797111954442,[28.87575745 22.27674045],1.0244909253921783,[29.54749326 22.74478572 -3.09933149],3
5.269832147703791,[19.2962787],1.8088377695135742,[17.47582288],1.340801223906001,[29.19779219 19.80302698],1.8015733437601664,[ 40.81961372  27.49112497 -56.56561846],4
