rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
54.04894482475746,[482.71822929],16.156453958295547,[50.99380327],16.15645395829554,[-7.90195949e-32  5.09938033e+01],16.156453958295543,[ 0.         49.47852348  8.65874161],1
91.69458882812008,[146.82606968],11.821952910626102,[49.19211839],11.821952910626091,[-6.38364493e-32  4.91921184e+01],11.821952910626104,[ 0.         47.73037564  8.35281574],2
51.09869280701694,[-117.46085574],14.418848449220478,[50.49700315],14.41884844922048,[3.15389629e-32 5.04970031e+01],14.41884844922048,[ 0.         48.99648577  8.57438501],3
120.89033550603095,[161.50867664],18.415096086643068,[46.94017653],18.41509608664303,[-5.83101954e-32  4.69401765e+01],18.415096086643064,[ 0.         45.54535018  7.97043628],4
