rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0023812560548613143,[0.01841424],0.0005054733349889826,[0.00181358],0.0005054733349889827,[-2.81030371e-36  1.81357642e-03],0.0005054733349889827,[0.         0.00175969 0.00030795],1
0.003264360402961737,[0.01433848],0.0004107867437413782,[0.00185223],0.0004107867437413786,[-2.40363657e-36  1.85223295e-03],0.00041078674374137833,[0.         0.00179719 0.00031451],2
0.0019588848953713423,[0.04660007],0.000540675572377038,[0.00184708],0.0005406755723770377,[1.15363212e-36 1.84707928e-03],0.0005406755723770382,[0.         0.00179219 0.00031363],3
0.004108018317023266,[-0.00582501],0.00027383646766538343,[0.00185196],0.0002738364676653836,[-2.30054626e-36  1.85195825e-03],0.0002738364676653832,[0.         0.00179693 0.00031446],4
