rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
22.144252866366333,[-120.67955732],3.0988572348837717,[18.63087005],3.0988572348837735,[-2.88702491e-32  1.86308701e+01],3.0988572348837726,[ 0.         18.07725415  3.16351948],1
32.02379612050554,[-14.68260697],3.316984547550508,[18.96336285],3.3169845475505144,[-2.46086932e-32  1.89633629e+01],3.3169845475505015,[ 0.         18.39986693  3.21997671],2
19.96013387194493,[176.19128361],3.842991907714516,[18.7244875],3.842991907714516,[1.16947716e-32 1.87244875e+01],3.8429919077145143,[ 0.         18.16808975  3.17941571],3
44.43698320621358,[122.96683335],5.752838649519589,[17.78263751],5.752838649519581,[-2.20900121e-32  1.77826375e+01],5.752838649519587,[ 0.         17.25422681  3.01948969],4
