rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.37878215378875585,[-4.24264069],0.09960167606215808,[0.30354659],0.09960167606215807,[-4.7037340e-34  3.0354659e-01],0.09960167606215801,[0.         0.29452671 0.05154217],1
0.4877459006325466,[-4.58831468],0.12698843596258713,[0.3213843],0.12698843596258746,[-4.17059347e-34  3.21384303e-01],0.12698843596258713,[0.         0.31183438 0.05457102],2
0.38297620105014357,[-3.21182027],0.14342373328761174,[0.30149406],0.14342373328761177,[1.88304441e-34 3.01494059e-01],0.14342373328761174,[0.         0.29253517 0.05119365],3
0.7386378704688714,[-0.45883147],0.15363283019936338,[0.2884295],0.15363283019936338,[-3.58293936e-34  2.88429502e-01],0.15363283019936352,[0.         0.27985883 0.04897529],4
