rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
3.6138748715486666,[38.6655456],2.2737203680397213,[8.19618198],1.9326217471270002,[39.50477641  8.7070196 ],2.0613956750695435,[37.86622513  6.96175944  9.96225915],1
1.318485366410141,[32.10417645],2.7326371919580397,[12.00354103],1.1224675967666526,[32.10417645 12.00354103],1.1596787921107838,[ 49.14350742  21.1785654  -52.42871068],2
1.7601048716410832,[28.74303543],2.576173593645128,[9.78214384],0.9647138768315423,[33.09918563 10.8903755 ],1.0826580840641056,[ 45.20143304  18.95456467 -45.05873984],3
2.1509840479809275,[31.50659317],2.3484104115229103,[11.94958226],1.4147509567565542,[31.50659317 11.94958226],1.3238471358350055,[ 40.61152872  17.85092938 -33.72198354],4
