rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.0016019948818720587,[0.04438879],0.001981451832746126,[-0.00326404],0.0014944285300783088,[ 0.04412918 -0.0026934 ],0.00024188076665992753,[ 0.05573904  0.00967253 -0.07058697],1
0.0017356772147891816,[0.03294549],0.003447670347564465,[-0.00207967],0.0016164023972771115,[ 0.03294549 -0.00207967],0.0010666035620891644,[ 0.05400809  0.00926172 -0.06480798],2
0.0006607497494270398,[0.03824294],0.002726095429135321,[-0.00380615],0.0005746127859978453,[ 0.03721895 -0.00255998],0.0007575636362712132,[ 0.05730737  0.0108257  -0.07479265],3
0.0004991171728859154,[0.03723441],0.0015445171145255865,[-0.00271621],0.00031265624194941013,[ 0.03723441 -0.00271621],0.0003520356069928578,[ 0.0566248   0.00985164 -0.07181626],4
