rMSE_lipid,coef_lipid,rMSE_iron,coef_iron,rMSE_lipid_iron,coef_lipid_iron,rMSE_ipid_iron_interaction,coef_lipid_iron_interaction,k-fold
0.9947460251974043,[-0.72235405],0.18606377106405317,[4.03638699],0.17672383703606062,[-0.33372064  4.03207164],0.14468217063465852,[  1.44254967   5.92401964 -10.7995797 ],1
0.7711763603499394,[-1.13766006],0.12413649982850758,[3.83851052],0.1579855357484631,[-1.13766006  3.83851052],0.1049447169793172,[ 1.46526213  5.240084   -8.00899134],2
0.6227501337709614,[-2.09684268],0.25702785386799015,[3.87034052],0.24738888193286113,[-0.55615498  3.85171926],0.2517837703891096,[ 1.6451903  5.3185596 -8.1959855],3
0.7661369235886654,[-0.57941587],0.1617777039660658,[4.04189085],0.15290597666295044,[-0.57941587  4.04189085],0.1704825073654091,[ 1.76039976  5.55843801 -8.6659838 ],4
